债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间,信用评级
123235,亿田转债,2023-12-21,370911,100,300911,亿田智能,56.24,21.31,263.9136,274.7,4.14,2023-12-20,4.8732,5.2021,2023-12-25,0.0010338434,2024-01-12,AA-
118046,诺泰转债,2023-12-15,718076,100,688076,诺泰生物,43.29,,,100.0,,2023-12-14,2.035,4.34,2023-12-19,0.00172269,2024-01-18,A+
123234,中能转债,2023-12-11,370062,100,300062,中能电气,5.77,5.5,104.7273,131.651,25.71,2023-12-08,0.7173,4.0,2023-12-13,0.001357269,2023-12-29,A+
127099,盛航转债,2023-12-06,071205,100,001205,盛航股份,16.6,15.48,107.2351,137.091,27.75,2023-12-05,4.328,7.4,2023-12-08,0.0027218265,2023-12-28,AA-
123233,凯盛转债,2023-11-29,371069,100,301069,凯盛新材,23.05,20.01,115.2424,141.679,22.94,2023-11-28,1.5452,6.5,2023-12-01,0.0012234346,2023-12-15,AA-
123232,金现转债,2023-11-27,370830,100,300830,金现代,13.48,9.35,144.1711,147.222,2.11,2023-11-24,0.4708,2.025125,2023-11-29,0.0014685712,2023-12-19,A+
127098,欧晶转债,2023-11-24,071269,100,001269,欧晶科技,29.45,42.0,70.119,124.5,77.41,2023-11-23,2.4428,4.7,2023-11-28,0.0017127732,2023-12-15,AA-
113680,丽岛转债,2023-11-15,754937,100,603937,丽岛新材,11.14,12.91,86.2897,130.774,51.55,2023-11-14,1.436,3.0,2023-11-17,0.00048969,2023-12-05,A+
123230,金钟转债,2023-11-09,371133,100,301133,金钟股份,26.99,24.35,110.8419,138.505,24.96,2023-11-08,3.2988,3.5,2023-11-13,0.0004519079,2023-12-01,A
123231,信测转债,2023-11-09,370938,100,300938,信测标准,26.0,18.22,142.6455,141.502,-0.85,2023-11-08,4.7895,5.45,2023-11-13,0.0010515875,2023-11-29,AA-
127097,三羊转债,2023-10-26,071317,100,001317,三羊马,53.22,37.43,142.1854,160.367,12.79,2023-10-25,2.6236,2.1,2023-10-30,0.0004248122,2023-11-17,A+
113679,芯能转债,2023-10-26,754105,100,603105,芯能科技,8.96,12.75,70.1961,122.584,74.65,2023-10-25,1.76,8.8,2023-10-30,0.00265816,2023-11-24,AA-
127096,泰坦转债,2023-10-25,073036,100,003036,泰坦股份,17.17,13.27,129.3896,154.857,19.72,2023-10-24,1.368,2.955,2023-10-27,0.0004295598,2023-11-15,A
123229,艾录转债,2023-10-23,371062,100,301062,上海艾录,9.01,10.05,89.6517,135.444,51.08,2023-10-20,1.2487,5.0,2023-10-25,0.0015666985,2023-11-20,A+
123228,震裕转债,2023-10-20,370953,100,300953,震裕科技,130.02,,,100.0,,2023-10-19,11.6264,11.95,2023-10-24,0.0033437479,2023-11-09,AA-
123227,雅创转债,2023-10-20,371099,100,301099,雅创电子,40.43,,,100.0,,2023-10-19,4.5375,3.63,2023-10-24,0.0008851171,2023-11-10,A+
113678,中贝转债,2023-10-19,754220,100,603220,中贝通信,23.53,20.95,112.315,143.1,27.43,2023-10-18,1.537,5.17,2023-10-23,0.00148949,2023-11-21,A+
127095,广泰转债,2023-10-18,072111,100,002111,威海广泰,10.98,9.15,120.0,140.465,17.05,2023-10-17,1.3212,7.0,2023-10-20,0.0022347742,2023-11-10,AA-
127094,红墙转债,2023-10-18,072809,100,002809,红墙股份,12.47,10.44,119.4444,144.552,21.07,2023-10-17,1.5031,3.16,2023-10-20,0.000963578,2023-11-08,A+
127093,章鼓转债,2023-10-17,072598,100,002598,山东章鼓,12.45,10.15,122.6601,148.014,20.74,2023-10-16,0.7788,2.43,2023-10-19,0.0007387761,2023-11-03,A+
123226,中富转债,2023-10-16,370814,100,300814,中富电路,46.74,,,100.0,,2023-10-13,2.9579,5.2,2023-10-18,0.0008351318,2023-11-03,AA-
123225,翔丰转债,2023-10-10,370890,100,300890,翔丰华,31.61,27.44,115.1603,139.929,21.51,2023-10-09,7.4052,8.0,2023-10-12,0.0035777723,2023-10-26,AA-
127092,运机转债,2023-09-21,071288,100,001288,运机集团,24.04,12.09,198.842,232.929,17.14,2023-09-20,4.5625,7.3,2023-09-25,0.0017956304,2023-10-20,AA-
123224,宇邦转债,2023-09-19,371266,100,301266,宇邦新材,35.94,36.84,97.557,134.679,38.11,2023-09-18,4.8076,5.0,2023-09-21,0.0009705603,2023-10-18,A+
123223,九典转02,2023-09-15,370705,100,300705,九典制药,19.26,14.95,128.7625,150.879,17.18,2023-09-14,1.0451,3.6,2023-09-19,0.0006352217,2023-10-13,A+
113677,华懋转债,2023-09-14,754306,100,603306,华懋科技,56.91,33.76,168.513,213.059,26.36,2023-09-13,3.249,10.5,2023-09-18,0.00326065,2023-10-12,AA-
118045,盟升转债,2023-09-12,718311,100,688311,盟升电子,42.67,20.94,204.1547,244.401,19.71,2023-09-11,1.876,3.0,2023-09-14,0.00089357,2023-10-17,A
118044,赛特转债,2023-09-11,718398,100,688398,赛特新材,22.06,18.9,116.7196,142.84,22.38,2023-09-08,3.81,4.42,2023-09-13,0.00056949,2023-10-12,A+
123222,博俊转债,2023-09-08,370926,100,300926,博俊科技,30.79,16.68,184.7122,217.949,17.99,2023-09-07,1.7932,5.0,2023-09-12,0.0010404561,2023-09-28,A+
123221,力诺转债,2023-08-23,371188,100,301188,力诺药包,19.57,14.2,137.8169,159.861,16.0,2023-08-22,2.1513,5.0,2023-08-25,0.0018983056,2023-09-14,A+
127091,科数转债,2023-08-23,072335,100,002335,科华数据,51.92,,,100.0,,2023-08-22,3.2326,14.92068,2023-08-25,0.0052497071,2023-09-12,AA
113676,荣23转债,2023-08-18,754165,100,603165,荣晟环保,12.56,11.11,113.0513,135.25,19.61,2023-08-17,2.127,5.76,2023-08-22,0.00080245,2023-09-13,AA-
123220,易瑞转债,2023-08-18,370942,100,300942,易瑞生物,12.84,8.87,144.6449,160.685,11.04,2023-08-17,0.8187,3.281967,2023-08-22,0.0028761396,2023-09-06,A+
111017,蓝天转债,2023-08-15,713368,100,605368,蓝天燃气,10.19,8.38,121.599,140.865,15.84,2023-08-14,1.255,8.7,2023-08-17,0.00084259,2023-09-08,AA
118043,福立转债,2023-08-14,718678,100,688678,福立旺,27.54,14.9,184.8993,215.67,16.65,2023-08-11,4.065,7.0,2023-08-16,0.00147242,2023-09-12,AA-
123219,宇瞳转债,2023-08-11,370790,100,300790,宇瞳光学,26.87,,,100.0,,2023-08-10,1.7731,6.0,2023-08-15,0.0011856348,2023-08-29,A+
113675,新23转债,2023-08-11,754179,100,603179,新泉股份,50.4,50.75,99.3498,135.35,36.24,2023-08-10,2.38,11.6,2023-08-15,0.0028089,2023-09-05,AA-
123218,宏昌转债,2023-08-10,371008,100,301008,宏昌科技,32.56,,,100.0,,2023-08-09,4.75,3.8,2023-08-14,0.000438974,2023-08-30,A+
118042,奥维转债,2023-08-10,718516,100,688516,奥特维,41.41,84.88,48.7865,120.985,147.99,2023-08-09,7.399,11.4,2023-08-14,0.00203912,2023-09-01,AA-
110095,双良转债,2023-08-08,733481,100,600481,双良节能,6.39,6.18,103.2362,129.268,25.22,2023-08-07,1.389,26.0,2023-08-10,0.00551815,2023-09-08,AA-
123217,富仕转债,2023-08-08,370852,100,300852,四会富仕,35.43,29.54,120.0068,142.063,18.3,2023-08-07,5.592,5.7,2023-08-10,0.0007508153,2023-08-24,AA-
123216,科顺转债,2023-08-04,370737,100,300737,科顺股份,5.57,6.72,82.8869,125.107,50.94,2023-08-03,1.8877,21.98,2023-08-08,0.0045649054,2023-08-23,AA
123215,铭利转债,2023-08-03,371268,100,301268,铭利达,22.14,19.2,115.3125,140.894,22.18,2023-08-02,2.4999,10.0,2023-08-07,0.0018818159,2023-08-23,AA-
123214,东宝转债,2023-07-31,370239,100,300239,东宝生物,6.01,6.63,90.6486,127.968,41.17,2023-07-28,0.7665,4.55,2023-08-02,0.0019172228,2023-08-18,A+
118041,星球转债,2023-07-31,718633,100,688633,星球石墨,26.95,23.14,116.5082,138.755,19.1,2023-07-28,5.964,6.2,2023-08-02,0.00054951,2023-08-22,A+
123213,天源转债,2023-07-28,371127,100,301127,武汉天源,15.64,7.14,219.0476,237.6,8.43,2023-07-27,2.3786,10.0,2023-08-01,0.0037859869,2023-08-16,AA-
113068,金铜转债,2023-07-28,783609,100,601609,金田股份,13.2,5.79,227.9793,100.0,9.61,2023-07-27,1.009,14.5,2023-08-01,0.00313136,2023-08-28,AA+
123211,阳谷转债,2023-07-27,370121,100,300121,阳谷华泰,14.68,9.39,156.3365,180.364,15.38,2023-07-26,1.6058,6.5,2023-07-31,0.0011936109,2023-08-14,AA-
123210,信服转债,2023-07-27,370454,100,300454,深信服,120.87,110.91,109.2417,152.588,39.63,2023-07-26,2.9227,12.14756,2023-07-31,0.0024586282,2023-08-18,AA
113067,燃23转债,2023-07-27,783139,100,601139,深圳燃气,6.76,7.4,91.3514,128.65,40.83,2023-07-26,1.042,30.0,2023-07-31,0.01104675,2023-08-18,AAA
123212,立中转债,2023-07-27,370428,100,300428,立中集团,19.81,18.66,106.1629,133.91,26.18,2023-07-26,1.4393,8.998,2023-07-31,0.0016998032,2023-08-16,AA-
123209,聚隆转债,2023-07-26,370644,100,300644,南京聚隆,38.17,17.77,214.8565,234.95,9.35,2023-07-25,2.0268,2.185,2023-07-28,0.000840233,2023-08-17,A+
118040,宏微转债,2023-07-25,718711,100,688711,宏微科技,27.88,28.51,97.8253,140.627,43.75,2023-07-24,2.834,4.3,2023-07-27,0.00147191,2023-08-14,A
111016,神通转债,2023-07-25,713228,100,605228,神通科技,17.01,11.52,147.6563,157.396,6.61,2023-07-24,1.358,5.77,2023-07-27,0.00043413,2023-08-15,AA-
123208,孩王转债,2023-07-24,371078,100,301078,孩子王,12.97,,,100.0,,2023-07-21,0.9343,10.39,2023-07-26,0.0044397098,2023-08-10,AA
127090,兴瑞转债,2023-07-24,072937,100,002937,兴瑞科技,19.29,25.6,75.3516,126.745,68.26,2023-07-21,1.5515,4.62,2023-07-26,0.0010381564,2023-08-15,AA-
123207,冠中转债,2023-07-21,370948,100,300948,冠中生态,11.97,10.44,114.6552,132.089,15.21,2023-07-20,2.8569,4.0,2023-07-25,0.0013600673,2023-08-09,A-
113674,华设转债,2023-07-21,754018,100,603018,华设集团,8.27,8.45,97.8698,136.89,39.87,2023-07-20,0.588,4.0,2023-07-25,0.00097532,2023-08-15,AA
118039,煜邦转债,2023-07-20,718597,100,688597,煜邦电力,8.5,7.3,116.4384,137.697,18.26,2023-07-19,1.662,4.10806,2023-07-24,0.00166927,2023-08-15,A
123206,开能转债,2023-07-20,370272,100,300272,开能健康,6.93,5.36,129.2911,128.6,-0.46,2023-07-19,0.445,2.5,2023-07-24,0.0005681769,2023-08-08,A+
