债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间,信用评级
113689,洛凯转债,2024-10-17,754829,100,603829,洛凯股份,19.01,15.33,124.0052,146.874,18.41,2024-10-16,2.521,4.03431,2024-10-21,0.00053307,2024-11-11,AA-
118050,航宇转债,2024-08-21,718239,100,688239,航宇科技,37.21,24.97,149.0188,171.45,15.01,2024-08-20,4.532,6.67,2024-08-23,0.00327929,2024-09-10,AA-
123248,恒辉转债,2024-08-21,370952,100,300952,恒辉安防,28.58,,,100.0,,2024-08-20,3.4392,5.0,2024-08-23,0.000912737,2024-09-12,AA-
123247,万凯转债,2024-08-16,371216,100,301216,万凯新材,15.97,11.3,141.3274,142.534,0.9,2024-08-15,5.2889,27.0,2024-08-20,0.0219868882,2024-09-05,AA
123246,远信转债,2024-08-16,371053,100,301053,远信工业,32.57,22.95,141.9172,145.12,2.26,2024-08-15,3.504,2.86467,2024-08-20,0.0003409553,2024-09-03,A
123245,集智转债,2024-08-14,370553,100,300553,集智股份,43.08,18.11,237.8796,249.849,5.03,2024-08-13,3.1385,2.546,2024-08-16,0.0012028753,2024-08-28,A
127106,伟隆转债,2024-08-13,072871,100,002871,伟隆股份,11.22,,,100.0,,2024-08-12,1.2573,2.6971,2024-08-15,0.0004217956,2024-08-28,A
110096,豫光转债,2024-08-12,733531,100,600531,豫光金铅,8.49,5.95,142.6891,159.743,11.94,2024-08-09,0.651,7.1,2024-08-14,0.00408851,2024-09-03,AA
118049,汇成转债,2024-08-07,718403,100,688403,汇成股份,13.5,7.61,177.3982,186.715,5.29,2024-08-06,1.395,11.487,2024-08-09,0.00606009,2024-09-02,AA-
123244,松原转债,2024-08-01,370893,100,300893,松原安全,25.72,20.35,126.3882,143.204,13.34,2024-07-31,1.8126,4.1,2024-08-05,0.0006162684,2024-08-22,A+
