日期,="A股全指.市值(左1)(单位: 元)",="A股全指.收盘点位",="宏观.大陆-GDP(累计)(左1)(单位: 元)",="巴菲特指标 市值/GDP"
2021-04-30,=85979378535968.9375,=5544.2600,,=0.8483
2021-04-23,=86483773650795.0156,=5560.1700,,=0.8533
2021-04-16,=84679469151358.0938,=5420.6800,,=0.8355
2021-04-09,=85231497549091.4375,=5457.5900,,=0.8409
2021-04-02,=86054859053432.7969,=5524.6900,,=0.8490
2021-03-26,=84349187514543.2031,=5425.7500,,=0.8322
2021-03-19,=83866349791765.8750,=5389.6300,,=0.8274
2021-03-12,=85032474580332.7969,=5469.1600,,=0.8389
2021-03-05,=87007233696397.4531,=5607.5500,,=0.8584
2021-02-26,=86892957265814.1250,=5617.6700,,=0.8573
2021-02-19,=92011499696820.1406,=5977.4200,,=0.9078
2021-02-10,=91206503859233.1406,=5918.5900,,=0.8999
2021-02-05,=86988783133517.9844,=5628.4300,,=0.8582
2021-01-29,=86925335639626.2188,=5615.5700,,=0.8576
2021-01-22,=90445950398182.7969,=5885.3500,,=0.8924
2021-01-15,=88609599541832.5781,=5740.2800,,=0.8742
2021-01-08,=89273140480514.1250,=5804.6000,,=0.8808
2020-12-31,=86663719852804.7188,=5621.7300,=101356700223068,=0.8550
2020-12-25,=84660254539171.9531,=5485.7200,,=0.8582
2020-12-18,=84487402205696.3281,=5465.5800,,=0.8564
2020-12-11,=78972161983360.3438,=5371.6900,,=0.8005
2020-12-04,=81570786913196.3594,=5564.9300,,=0.8269
2020-11-27,=80367390031592.4688,=5470.4800,,=0.8147
2020-11-20,=80188501835367.6563,=5488.7700,,=0.8128
2020-11-13,=78880431697982.8906,=5402.7700,,=0.7996
2020-11-06,=79138472494380.6563,=5423.9600,,=0.8022
2020-10-30,=76757142795742.8281,=5241.1700,,=0.7781
2020-10-23,=77516353368406.1875,=5295.6200,,=0.7858
2020-10-16,=79179910416328.3125,=5424.6100,,=0.8026
2020-10-09,=77517235669624.8750,=5319.4500,,=0.7858
2020-09-30,=75864103122934.4844,=5189.3600,,=0.7690
2020-09-25,=75723297669217.3438,=5187.2900,,=0.7676
2020-09-18,=78454464048350.9063,=5387.1100,,=0.7953
2020-09-11,=76470814628782.8594,=5256.6200,,=0.7752
2020-09-04,=79425926277709.6094,=5485.2700,,=0.8051
2020-08-28,=80364218770117.5781,=5541.3500,,=0.8146
2020-08-21,=79292825124054.7188,=5447.7200,,=0.8038
2020-08-14,=78978483390718.7031,=5431.5400,,=0.8006
2020-08-07,=79242739860895.9219,=5469.8100,,=0.8033
2020-07-31,=78353866854576.7188,=5409.4600,,=0.7942
2020-07-24,=75127193258986.7031,=5169.0700,,=0.7615
2020-07-17,=75710580383636.8281,=5202.8200,,=0.7675
2020-07-10,=79588451241146.0781,=5452.8500,,=0.8068
2020-07-03,=73396636520629.0469,=5008.3500,,=0.7440
2020-06-24,=68130257241676.2891,=4748.3300,,=0.6906
2020-06-19,=67657412188827.6406,=4717.9000,,=0.6858
2020-06-12,=66168553829065.1016,=4596.9600,,=0.6707
2020-06-05,=66205459155290.1406,=4591.9600,,=0.6711
2020-05-29,=64168910765217.4141,=4439.0900,,=0.6505
2020-05-22,=63258798137671.9141,=4370.1500,,=0.6412
2020-05-15,=64789813163536.0781,=4491.4300,,=0.6568
2020-05-08,=65136771493711.8359,=4517.6800,,=0.6603
2020-04-30,=64105540563987.8125,=4426.3400,,=0.6498
2020-04-24,=62994172703697.7031,=4351.5500,,=0.6386
2020-04-17,=63590574758506.6953,=4391.6000,,=0.6446
2020-04-10,=62565970233595.3203,=4319.3600,,=0.6342
2020-04-03,=61691439939048.9297,=4244.7400,,=0.6253
2020-03-27,=61781690937489.3750,=4257.8000,,=0.6263
2020-03-20,=61540094433002.2813,=4257,,=0.6238
2020-03-13,=64750314602838.6250,=4494.5500,,=0.6564
2020-03-06,=68345524804658.2109,=4764.2400,,=0.6928
2020-02-28,=64767170351178.5547,=4493,,=0.6565
2020-02-21,=68433425237364.6250,=4751.4600,,=0.6937
2020-02-14,=65094785846952.7500,=4487.7800,,=0.6598
2020-02-07,=63903166993124.0859,=4397.2100,,=0.6478
2020-01-23,=65535906382783.9297,=4488.9700,,=0.6643
2020-01-17,=67521096980757.4531,=4637.2700,,=0.6844
2020-01-10,=67494917169602.8594,=4633.4200,,=0.6842
2020-01-03,=66888496101813.6094,=4576.5400,,=0.6780
2019-12-31,,,=98651520229190.2969,=0.6254
2019-12-27,=61697216944290.2188,=4428.6800,,=0.6711
2019-12-20,=61681483615654.0547,=4426.5800,,=0.6710
2019-12-13,=60594400596818.6250,=4350.4700,,=0.6591
2019-12-06,=59576658428618.4609,=4280.5100,,=0.6481
2019-11-29,=58472208950615.2500,=4186.1800,,=0.6361
2019-11-22,=58746365773414.0781,=4212.9300,,=0.6390
2019-11-15,=58833398093559.1641,=4216.2900,,=0.6400
2019-11-08,=60345075043290.1406,=4329.0100,,=0.6564
2019-11-01,=60090434578403.4141,=4311.0500,,=0.6537
2019-10-25,=59922171728520.7266,=4289.7400,,=0.6518
2019-10-18,=59422128184380.7891,=4261.8300,,=0.6464
2019-10-11,=60080123759337,=4322.1600,,=0.6536
2019-09-30,=58611540462411.7266,=4214.4000,,=0.6376
2019-09-27,=59179272231570.2344,=4259.7800,,=0.6438
2019-09-20,=60884772835185.9375,=4398.2400,,=0.6623
2019-09-12,=61259186387131.8984,=4433.9300,,=0.6664
2019-09-06,=60539198742065.6719,=4376.6600,,=0.6585
2019-08-30,=58075519630691.4375,=4184.7800,,=0.6317
2019-08-23,=58253706265661.3438,=4201.7200,,=0.6337
2019-08-16,=56672910490661.5625,=4068.2500,,=0.6165
2019-08-09,=55525265041758.0547,=3971.5300,,=0.6040
2019-08-02,=57487604277109.3203,=4124.2900,,=0.6254
2019-07-26,=58957365045693.5156,=4231.3900,,=0.6413
2019-07-19,=58484500515928.1875,=4199.3200,,=0.6362
2019-07-12,=58472240866201.1797,=4198.0800,,=0.6361
2019-07-05,=60066755985179.4688,=4319.9500,,=0.6534
2019-06-28,=59142374456584.2188,=4244.0800,,=0.6434
2019-06-21,=59599928707745.2891,=4282.0700,,=0.6483
2019-06-14,=57079530379026.0078,=4086.1300,,=0.6209
2019-06-06,=55875978727996.7656,=3980.9400,,=0.6078
2019-05-31,=57508087730175.2578,=4123.5100,,=0.6256
2019-05-24,=56554621347250.2031,=4056.5400,,=0.6152
2019-05-17,=57344566533359.1641,=4134.6300,,=0.6238
2019-05-10,=58552597190980.8594,=4226.0200,,=0.6369
2019-04-30,=61299610890149.6328,=4422.4900,,=0.6668
2019-04-26,=61684243577973.7031,=4460.6800,,=0.6710
2019-04-19,=65499141404069.1172,=4756.5400,,=0.7125
2019-04-12,=63763922149567.6406,=4632.0100,,=0.6936
2019-04-04,=65047106485688.2188,=4727.6700,,=0.7076
2019-03-29,=61913416051134.0156,=4487.7200,,=0.6735
2019-03-22,=62145059503021.7500,=4499.5400,,=0.6760
2019-03-15,=60388827779853.5234,=4351.4300,,=0.6569
2019-03-08,=59236773820061.7734,=4249.7300,,=0.6444
2019-03-01,=59230722141042.8438,=4215.7000,,=0.6443
2019-02-22,=55586981211560.6641,=3968.8800,,=0.6047
2019-02-15,=52866652265998.6953,=3752.4700,,=0.5751
2019-02-01,=51149971692958.0547,=3596.0200,,=0.5564
2019-01-25,=50904454924792.9922,=3598.6000,,=0.5537
2019-01-18,=50757644457661.2813,=3598.4300,,=0.5521
2019-01-11,=49975735164758.8047,=3551.3300,,=0.5436
2019-01-04,=49050263409824.3438,=3470.2800,,=0.5336
2018-12-31,,,=91928112906664.5938,=0.5209
2018-12-28,=47885454357503.7734,=3432.3800,,=0.5755
2018-12-21,=48337789116263.7734,=3472.6900,,=0.5810
2018-12-14,=49898011198797.7813,=3592.5200,,=0.5997
2018-12-07,=50318445811015.5234,=3634.5700,,=0.6048
2018-11-30,=49959565530127.3750,=3606.1000,,=0.6004
2018-11-23,=49782684137860,=3589.6700,,=0.5983
2018-11-16,=51911674360810.6953,=3763.2700,,=0.6239
2018-11-09,=49918728035576.0859,=3584.8800,,=0.6000
2018-11-02,=51214452731426.9453,=3666.5900,,=0.6155
2018-10-26,=49561091213587.6094,=3523.3500,,=0.5957
2018-10-19,=48552258903822.8203,=3454.3400,,=0.5835
2018-10-12,=49573955161138.2422,=3536.7600,,=0.5958
2018-09-28,=54003063840776.2422,=3890.8300,,=0.6490
2018-09-21,=53696326372306.4609,=3880.9200,,=0.6454
2018-09-14,=51567612299431.9688,=3737.7000,,=0.6198
2018-09-07,=52159569734960.5469,=3798.5800,,=0.6269
2018-08-31,=52708424939766.2969,=3842.1400,,=0.6335
2018-08-24,=52811866307862.8516,=3854.9900,,=0.6347
2018-08-17,=51749685725239.4609,=3785.0100,,=0.6220
2018-08-10,=54234182870833.5781,=3979.6100,,=0.6518
2018-08-03,=53177989602557.6250,=3892.8800,,=0.6391
2018-07-27,=56158229366736.3906,=4144.3600,,=0.6749
2018-07-20,=55537091395701.3359,=4096.5200,,=0.6675
2018-07-13,=55719527691439.5859,=4105.0600,,=0.6697
2018-07-06,=53717623700061.2656,=3956.6200,,=0.6456
2018-06-29,=54343463315815.1953,=4127.9500,,=0.6531
2018-06-22,=54956847379723.0547,=4157.4600,,=0.6605
2018-06-15,=57638801983638.4375,=4380.6600,,=0.6927
2018-06-08,=58726189703234.4141,=4486.6300,,=0.7058
