日期,="宏观.中债-十年期收益率",="社融-M2"
2022-10-21,=0.0273,=0.0787
2022-10-14,=0.0270,=0.0790
2022-10-09,=0.0275,=0.0785
2022-09-30,=0.0276,=0.0784
2022-09-23,=0.0268,=0.0782
2022-09-16,=0.0267,=0.0783
2022-09-09,=0.0263,=0.0786
2022-09-02,=0.0262,=0.0788
2022-08-31,,=0.0786
2022-08-26,=0.0264,=0.0806
2022-08-19,=0.0259,=0.0811
2022-08-12,=0.0273,=0.0797
2022-08-05,=0.0273,=0.0797
2022-07-31,,=0.0794
2022-07-29,=0.0276,=0.0804
2022-07-22,=0.0279,=0.0801
2022-07-15,=0.0279,=0.0801
2022-07-08,=0.0284,=0.0796
2022-07-01,=0.0283,=0.0797
2022-06-30,,=0.0800
2022-06-24,=0.0280,=0.0770
2022-06-17,=0.0278,=0.0772
2022-06-10,=0.0275,=0.0775
2022-06-02,=0.0276,=0.0774
2022-05-31,,=0.0780
2022-05-27,=0.0270,=0.0750
2022-05-20,=0.0279,=0.0741
2022-05-13,=0.0281,=0.0739
2022-05-07,=0.0283,=0.0737
2022-04-30,,=0.0736
2022-04-29,=0.0284,=0.0766
2022-04-24,=0.0283,=0.0767
2022-04-15,=0.0276,=0.0774
2022-04-08,=0.0275,=0.0775
2022-04-02,=0.0277,=0.0773
2022-03-31,,=0.0770
2022-03-25,=0.0280,=0.0740
2022-03-18,=0.0279,=0.0741
2022-03-11,=0.0279,=0.0741
2022-03-04,=0.0281,=0.0739
2022-02-28,,=0.0742
2022-02-25,=0.0278,=0.0772
2022-02-18,=0.0280,=0.0770
2022-02-11,=0.0279,=0.0771
2022-01-31,,=0.0780
2022-01-30,=0.0270,=0.0760
2022-01-21,=0.0271,=0.0759
2022-01-14,=0.0279,=0.0751
2022-01-07,=0.0282,=0.0748
2021-12-31,=0.0278,=0.0752
2021-12-24,=0.0282,=0.0728
2021-12-17,=0.0285,=0.0725
2021-12-10,=0.0284,=0.0726
2021-12-03,=0.0287,=0.0723
2021-11-30,,=0.0728
2021-11-26,=0.0282,=0.0718
2021-11-19,=0.0293,=0.0707
2021-11-12,=0.0294,=0.0706
2021-11-05,=0.0289,=0.0711
2021-10-31,,=0.0703
2021-10-29,=0.0297,=0.0703
2021-10-22,=0.0300,=0.0700
2021-10-15,=0.0297,=0.0703
2021-10-09,=0.0292,=0.0708
2021-09-30,=0.0288,=0.0712
2021-09-26,=0.0288,=0.0742
2021-09-18,=0.0287,=0.0743
2021-09-10,=0.0287,=0.0743
2021-09-03,=0.0283,=0.0747
2021-08-31,,=0.0743
2021-08-27,=0.0287,=0.0783
2021-08-20,=0.0285,=0.0785
2021-08-13,=0.0288,=0.0782
2021-08-06,=0.0281,=0.0789
2021-07-31,,=0.0786
2021-07-30,=0.0284,=0.0816
2021-07-23,=0.0291,=0.0809
2021-07-16,=0.0294,=0.0806
2021-07-09,=0.0301,=0.0799
2021-07-02,=0.0308,=0.0792
2021-06-30,,=0.0792
2021-06-25,=0.0308,=0.0792
2021-06-18,=0.0312,=0.0788
2021-06-11,=0.0313,=0.0787
2021-06-04,=0.0309,=0.0791
2021-05-31,,=0.0792
2021-05-28,=0.0308,=0.0862
2021-05-21,=0.0309,=0.0861
2021-05-14,=0.0314,=0.0856
2021-05-08,=0.0316,=0.0854
2021-04-30,=0.0316,=0.0854
2021-04-25,=0.0318,=0.0912
2021-04-16,=0.0316,=0.0914
2021-04-09,=0.0321,=0.0909
2021-04-02,=0.0320,=0.0910
2021-03-31,,=0.0910
2021-03-26,=0.0320,=0.1010
2021-03-19,=0.0324,=0.1006
2021-03-12,=0.0326,=0.1004
2021-03-05,=0.0325,=0.1005
2021-02-28,,=0.1002
2021-02-26,=0.0328,=0.0972
2021-02-20,=0.0326,=0.0974
2021-02-10,=0.0324,=0.0976
2021-02-07,=0.0322,=0.0978
2021-01-31,,=0.0982
2021-01-29,=0.0318,=0.1012
2021-01-22,=0.0312,=0.1018
2021-01-15,=0.0315,=0.1015
2021-01-08,=0.0315,=0.1015
