日期,="沪深300.收盘点位",="宏观.中债-十年期收益率(右1)",="宏观.月度社会融资增长率 / 3.6

(右1)",="宏观.大陆 - M2增长率 / 3.28
"
2023-09-28,=3689.5200,=0.0268,,
2023-09-22,=3738.9300,=0.0268,,
2023-09-15,=3708.7800,=0.0264,,
2023-09-08,=3739.9900,=0.0264,,
2023-09-01,=3791.4900,=0.0259,,
2023-08-31,,,=0.0250,=0.0323
2023-08-25,=3709.1500,=0.0257,,
2023-08-18,=3784,=0.0256,,
2023-08-11,=3884.2500,=0.0264,,
2023-08-04,=4020.5800,=0.0265,,
2023-07-31,,,=0.0247,=0.0326
2023-07-28,=3992.7400,=0.0265,,
2023-07-21,=3821.9100,=0.0261,,
2023-07-14,=3899.1000,=0.0264,,
2023-07-07,=3825.7000,=0.0264,,
2023-06-30,=3842.4500,=0.0264,=0.0250,=0.0345
2023-06-25,,=0.0266,,
2023-06-21,=3864.0300,,,
2023-06-16,=3963.3500,=0.0266,,
2023-06-09,=3836.7000,=0.0267,,
2023-06-02,=3861.8300,=0.0270,,
2023-05-31,,,=0.0264,=0.0354
2023-05-26,=3850.9500,=0.0272,,
2023-05-19,=3944.5400,=0.0272,,
2023-05-12,=3937.7600,=0.0271,,
2023-05-06,,=0.0273,,
2023-05-05,=4016.8800,,,
2023-04-30,,,=0.0278,=0.0378
2023-04-28,=4029.0900,=0.0278,,
2023-04-23,,=0.0282,,
2023-04-21,=4032.5700,,,
2023-04-14,=4092,=0.0283,,
2023-04-07,=4123.2800,=0.0285,,
2023-03-31,=4050.9300,=0.0285,=0.0278,=0.0387
2023-03-24,=4027.0500,=0.0287,,
2023-03-17,=3958.8200,=0.0286,,
2023-03-10,=3967.1400,=0.0286,,
2023-03-03,=4130.5500,=0.0290,,
2023-02-28,,,=0.0275,=0.0393
2023-02-24,=4061.0500,=0.0291,,
2023-02-17,=4034.5100,=0.0289,,
2023-02-10,=4106.3100,=0.0290,,
2023-02-03,=4141.6300,=0.0289,,
2023-01-31,,,=0.0261,=0.0384
2023-01-29,,=0.0292,,
2023-01-20,=4181.5300,=0.0293,,
2023-01-13,=4074.3800,=0.0290,,
2023-01-06,=3980.8900,=0.0283,,
2022-12-31,,=0.0284,=0.0267,=0.0360
2022-12-30,=3871.6300,,,
2022-12-23,=3828.2200,=0.0283,,
2022-12-16,=3954.2300,=0.0289,,
2022-12-09,=3998.2400,=0.0289,,
2022-12-02,=3870.9500,=0.0287,,
2022-11-30,,,=0.0278,=0.0378
2022-11-25,=3775.7800,=0.0283,,
2022-11-18,=3801.5700,=0.0283,,
2022-11-11,=3788.4400,=0.0274,,
2022-11-04,=3767.1700,=0.0270,,
2022-10-31,,,=0.0286,=0.0360
2022-10-28,=3541.3300,=0.0267,,
2022-10-21,=3742.8900,=0.0273,,
2022-10-14,=3842.4700,=0.0270,,
2022-10-09,,=0.0275,,
2022-09-30,=3804.8900,=0.0276,=0.0294,=0.0369
2022-09-23,=3856.0200,=0.0268,,
2022-09-16,=3932.6800,=0.0267,,
2022-09-09,=4093.7900,=0.0263,,
2022-09-02,=4023.6100,=0.0262,,
2022-08-31,,,=0.0292,=0.0372
2022-08-26,=4107.5500,=0.0264,,
2022-08-19,=4151.0700,=0.0259,,
2022-08-12,=4191.1500,=0.0273,,
2022-08-05,=4156.9100,=0.0273,,
2022-07-31,,,=0.0297,=0.0366
2022-07-29,=4170.1000,=0.0276,,
2022-07-22,=4238.2300,=0.0279,,
2022-07-15,=4248.5300,=0.0279,,
2022-07-08,=4428.7800,=0.0284,,
2022-07-01,=4466.7200,=0.0283,,
2022-06-30,,,=0.0300,=0.0348
2022-06-24,=4394.7700,=0.0280,,
2022-06-17,=4309.0400,=0.0278,,
2022-06-10,=4238.9900,=0.0275,,
2022-06-02,=4089.5700,=0.0276,,
2022-05-31,,,=0.0292,=0.0338
2022-05-27,=4001.3000,=0.0270,,
2022-05-20,=4077.6000,=0.0279,,
2022-05-13,=3988.6000,=0.0281,,
2022-05-07,,=0.0283,,
2022-05-06,=3908.8200,,,
2022-04-30,,,=0.0283,=0.0320
2022-04-29,=4016.2400,=0.0284,,
2022-04-24,,=0.0283,,
2022-04-22,=4013.2500,,,
2022-04-15,=4188.7500,=0.0276,,
2022-04-08,=4230.7700,=0.0275,,
2022-04-02,,=0.0277,,
2022-04-01,=4276.1600,,,
2022-03-31,,,=0.0292,=0.0296
2022-03-25,=4174.5700,=0.0280,,
2022-03-18,=4265.9000,=0.0279,,
2022-03-11,=4306.5200,=0.0279,,
2022-03-04,=4496.4300,=0.0281,,
2022-02-28,,,=0.0283,=0.0280
2022-02-25,=4573.4200,=0.0278,,
2022-02-18,=4651.2400,=0.0280,,
2022-02-11,=4601.4000,=0.0279,,
2022-01-31,,,=0.0292,=0.0300
2022-01-30,,=0.0270,,
2022-01-28,=4563.7700,,,
2022-01-21,=4779.3100,=0.0271,,
2022-01-14,=4726.7300,=0.0279,,
2022-01-07,=4822.3700,=0.0282,,
2021-12-31,=4940.3700,=0.0278,=0.0286,=0.0274
2021-12-24,=4921.3400,=0.0282,,
2021-12-17,=4954.7600,=0.0285,,
2021-12-10,=5055.1200,=0.0284,,
2021-12-03,=4901.0200,=0.0287,,
2021-11-30,,,=0.0281,=0.0259
2021-11-26,=4860.1300,=0.0282,,
2021-11-19,=4890.0600,=0.0293,,
