日期,="上证指数.收盘点位",="宏观.新增自然人"
2022-02-11,=3462.9500,
2022-01-31,,=1320600
2022-01-28,=3361.4400,
2022-01-21,=3522.5700,
2022-01-14,=3521.2600,
2022-01-07,=3579.5400,
2021-12-31,=3639.7800,=1368000
2021-12-24,=3618.0500,
2021-12-17,=3632.3600,
2021-12-10,=3666.3500,
2021-12-03,=3607.4300,
2021-11-30,,=1330400
2021-11-26,=3564.0900,
2021-11-19,=3560.3700,
2021-11-12,=3539.1000,
2021-11-05,=3491.5700,
2021-10-31,,=977200
2021-10-29,=3547.3400,
2021-10-22,=3582.6000,
2021-10-15,=3572.3700,
2021-10-08,=3592.1700,
2021-09-30,=3568.1700,=1612700
2021-09-24,=3613.0700,
2021-09-17,=3613.9700,
2021-09-10,=3703.1100,
2021-09-03,=3581.7300,
2021-08-31,,=1869800
2021-08-27,=3522.1600,
2021-08-20,=3427.3300,
2021-08-13,=3516.3000,
2021-08-06,=3458.2300,
2021-07-31,,=1604500
2021-07-30,=3397.3600,
2021-07-23,=3550.4000,
2021-07-16,=3539.3000,
2021-07-09,=3524.0900,
2021-07-02,=3518.7600,
2021-06-30,,=1550800
2021-06-25,=3607.5600,
2021-06-18,=3525.1000,
2021-06-11,=3589.7500,
2021-06-04,=3591.8400,
2021-05-31,,=1409400
2021-05-28,=3600.7800,
2021-05-21,=3486.5600,
2021-05-14,=3490.3800,
2021-05-07,=3418.8700,
2021-04-30,=3446.8600,=1688200
2021-04-23,=3474.1700,
2021-04-16,=3426.6200,
2021-04-09,=3450.6800,
2021-04-02,=3484.3900,
2021-03-31,,=2473700
2021-03-26,=3418.3300,
2021-03-19,=3404.6600,
2021-03-12,=3453.0800,
2021-03-05,=3501.9900,
2021-02-28,,=1606100
2021-02-26,=3509.0800,
2021-02-19,=3696.1700,
2021-02-10,=3655.0900,
2021-02-05,=3496.3300,
2021-01-31,,=2090500
2021-01-29,=3483.0700,
2021-01-22,=3606.7500,
2021-01-15,=3566.3800,
2021-01-08,=3570.1100,
2020-12-31,=3473.0700,=1616900
2020-12-25,=3396.5600,
2020-12-18,=3394.9000,
2020-12-11,=3347.1900,
2020-12-04,=3444.5800,
2020-11-30,,=1523600
2020-11-27,=3408.3100,
2020-11-20,=3377.7300,
2020-11-13,=3310.1000,
2020-11-06,=3312.1600,
2020-10-31,,=1117800
2020-10-30,=3224.5300,
2020-10-23,=3278,
2020-10-16,=3336.3600,
2020-10-09,=3272.0800,
2020-09-30,=3218.0500,=1537700
2020-09-25,=3219.4200,
2020-09-18,=3338.0900,
2020-09-11,=3260.3500,
2020-09-04,=3355.3700,
2020-08-31,,=1791900
