日期,="沪深300.PE-TTM(市值加权)",="宏观.中债-十年期收益率",="1 / 沪深300.PE-TTM(市值加权) / 宏观.中债 - 十年期收益率"
2023-05-26,=11.7552,=0.0272,=3.1269
2023-05-19,=12.1033,=0.0272,=3.0431
2023-05-12,=12.0861,=0.0271,=3.0579
2023-05-06,,=0.0273,=2.9681
2023-05-05,=12.3364,,=2.9171
2023-04-28,=12.2122,=0.0278,=2.9468
2023-04-23,,=0.0282,=2.8643
2023-04-21,=12.3717,,=2.8581
2023-04-14,=12.3718,=0.0283,=2.8581
2023-04-07,=12.3489,=0.0285,=2.8450
2023-03-31,=12.0804,=0.0285,=2.9017
2023-03-24,=11.9924,=0.0287,=2.9079
2023-03-17,=11.9361,=0.0286,=2.9291
2023-03-10,=11.7534,=0.0286,=2.9721
2023-03-03,=12.1673,=0.0290,=2.8315
2023-02-24,=11.8616,=0.0291,=2.8945
2023-02-17,=11.7580,=0.0289,=2.9408
2023-02-10,=11.9073,=0.0290,=2.8956
2023-02-03,=11.9880,=0.0289,=2.8821
2023-01-29,,=0.0292,=2.8299
2023-01-20,=12.0939,=0.0293,=2.8191
2023-01-13,=11.8550,=0.0290,=2.9077
2023-01-06,=11.6059,=0.0283,=3.0416
2022-12-31,,=0.0284,=3.1151
2022-12-30,=11.3221,,=3.1264
2022-12-23,=11.2110,=0.0283,=3.1573
2022-12-16,=11.5451,=0.0289,=3.0017
2022-12-09,=11.6355,=0.0289,=2.9735
2022-12-02,=11.3016,=0.0287,=3.0856
2022-11-25,=11.0832,=0.0283,=3.1882
2022-11-18,=11.0156,=0.0283,=3.2135
2022-11-11,=11.0075,=0.0274,=3.3212
2022-11-04,=10.9257,=0.0270,=3.3870
2022-10-28,=10.3827,=0.0267,=3.6136
2022-10-21,=11.0027,=0.0273,=3.3320
2022-10-14,=11.2608,=0.0270,=3.2918
2022-10-09,,=0.0275,=3.2536
2022-09-30,=11.1959,=0.0276,=3.2360
2022-09-23,=11.3380,=0.0268,=3.2908
2022-09-16,=11.4539,=0.0267,=3.2662
2022-09-09,=11.8719,=0.0263,=3.1967
2022-09-02,=11.6488,=0.0262,=3.2733
2022-08-26,=11.8863,=0.0264,=3.1831
2022-08-19,=12.0349,=0.0259,=3.2113
2022-08-12,=12.1633,=0.0273,=3.0063
2022-08-05,=12.0740,=0.0273,=3.0295
2022-07-29,=12.1146,=0.0276,=2.9951
2022-07-22,=12.2958,=0.0279,=2.9181
2022-07-15,=12.2709,=0.0279,=2.9254
2022-07-08,=12.8161,=0.0284,=2.7490
2022-07-01,=12.9381,=0.0283,=2.7355
2022-06-24,=12.7807,=0.0280,=2.7966
2022-06-17,=12.6129,=0.0278,=2.8569
2022-06-10,=12.5870,=0.0275,=2.8863
2022-06-02,=12.1823,=0.0276,=2.9740
2022-05-27,=11.9845,=0.0270,=3.0934
2022-05-20,=12.1183,=0.0279,=2.9577
2022-05-13,=11.8979,=0.0281,=2.9868
2022-05-07,,=0.0283,=3.0249
2022-05-06,=11.6969,,=3.0118
2022-04-29,=11.8381,=0.0284,=2.9759
2022-04-24,,=0.0283,=2.9784
2022-04-22,=11.8494,,=3.0601
2022-04-15,=12.2937,=0.0276,=2.9495
2022-04-08,=12.4005,=0.0275,=2.9293
2022-04-02,,=0.0277,=2.8923
2022-04-01,=12.4760,,=2.8655
2022-03-25,=12.2628,=0.0280,=2.9153
2022-03-18,=12.4681,=0.0279,=2.8719
2022-03-11,=12.5529,=0.0279,=2.8551
2022-03-04,=13.0888,=0.0281,=2.7165
2022-02-25,=13.2117,=0.0278,=2.7276
2022-02-18,=13.4722,=0.0280,=2.6533
2022-02-11,=13.3923,=0.0279,=2.6772
2022-01-30,,=0.0270,=2.8275
2022-01-28,=13.1003,,=2.8168
2022-01-21,=13.6819,=0.0271,=2.6970
2022-01-14,=13.5326,=0.0279,=2.6453
2022-01-07,=13.8011,=0.0282,=2.5713
2021-12-31,=14.0131,=0.0278,=2.5712
2021-12-24,=13.9925,=0.0282,=2.5340
2021-12-17,=14.0459,=0.0285,=2.4970
2021-12-10,=13.5133,=0.0284,=2.6033
2021-12-03,=13.1507,=0.0287,=2.6494
2021-11-26,=13.0141,=0.0282,=2.7248
2021-11-19,=13.0994,=0.0293,=2.6053
2021-11-12,=13.0732,=0.0294,=2.6026
2021-11-05,=12.9793,=0.0289,=2.6649
2021-10-29,=13.3030,=0.0297,=2.5283
2021-10-22,=13.3163,=0.0300,=2.5071
2021-10-15,=13.2583,=0.0297,=2.5410
2021-10-09,,=0.0292,=2.5791
2021-10-08,=13.2851,,=2.6158
2021-09-30,=13.1123,=0.0288,=2.6503
2021-09-26,,=0.0288,=2.6531
2021-09-24,=13.0890,,=2.6605
2021-09-18,,=0.0287,=2.6550
2021-09-17,=13.1156,,=2.6607
2021-09-10,=13.4910,=0.0287,=2.5867
2021-09-03,=13.0432,=0.0283,=2.7065
2021-08-27,=13.4215,=0.0287,=2.5963
2021-08-20,=13.4162,=0.0285,=2.6135
2021-08-13,=13.8761,=0.0288,=2.5030
2021-08-06,=13.7731,=0.0281,=2.5802
2021-07-30,=13.5503,=0.0284,=2.6020
2021-07-23,=14.3164,=0.0291,=2.3975
2021-07-16,=14.3161,=0.0294,=2.3733
2021-07-09,=14.3427,=0.0301,=2.3160
2021-07-02,=14.4267,=0.0308,=2.2503
2021-06-25,=14.8520,=0.0308,=2.1841
2021-06-18,=14.4935,=0.0312,=2.2113
2021-06-11,=14.3474,=0.0313,=2.2286
2021-06-04,=14.4526,=0.0309,=2.2374
2021-05-28,=14.5634,=0.0308,=2.2276
2021-05-21,=14.0874,=0.0309,=2.2991
2021-05-14,=14.0576,=0.0314,=2.2639
2021-05-08,,=0.0316,=2.3053
2021-05-07,=13.7352,,=2.3011
2021-04-30,=13.9733,=0.0316,=2.2618
2021-04-25,,=0.0318,=2.1099
2021-04-23,=14.8851,,=2.1239
2021-04-16,=14.6376,=0.0316,=2.1598
2021-04-09,=15.0737,=0.0321,=2.0653
2021-04-02,=15.3733,=0.0320,=2.0320
2021-03-26,=15.5410,=0.0320,=2.0117
2021-03-19,=15.5478,=0.0324,=1.9873
2021-03-12,=15.9806,=0.0326,=1.9188
2021-03-05,=16.3102,=0.0325,=1.8890
2021-02-26,=16.4389,=0.0328,=1.8547
2021-02-20,,=0.0326,=1.7438
2021-02-19,=17.5885,,=1.7521
2021-02-10,=17.6279,=0.0324,=1.7482
2021-02-07,,=0.0322,=1.8557
2021-02-05,=16.7522,,=1.8780
2021-01-29,=16.5435,=0.0318,=1.9017
2021-01-22,=17.0492,=0.0312,=1.8808
2021-01-15,=16.7319,=0.0315,=1.8969
2021-01-08,=16.8601,=0.0315,=1.8855
2020-12-31,=16.1005,=0.0314,=1.9762
2020-12-25,=15.6607,=0.0319,=2.0031
2020-12-18,=15.5880,=0.0329,=1.9498
2020-12-11,=15.0114,=0.0330,=2.0217
2020-12-04,=15.5373,=0.0327,=1.9712
2020-11-27,=15.3603,=0.0330,=1.9728
2020-11-20,=15.1370,=0.0331,=1.9959
2020-11-13,=14.8553,=0.0327,=2.0576
2020-11-06,=14.9275,=0.0321,=2.0893
2020-10-30,=14.3535,=0.0318,=2.1902
2020-10-23,=14.9985,=0.0320,=2.0863
2020-10-16,=15.2335,=0.0322,=2.0385
2020-10-10,,=0.0319,=2.1081
2020-10-09,=14.8714,,=2.1359
2020-09-30,=14.6372,=0.0315,=2.1701
2020-09-27,,=0.0313,=2.1902
2020-09-25,=14.5759,,=2.2016
2020-09-18,=15.0907,=0.0312,=2.1265
2020-09-11,=14.7507,=0.0313,=2.1628
2020-09-04,=15.0912,=0.0312,=2.1219
2020-08-28,=14.6525,=0.0307,=2.2251
2020-08-21,=14.2101,=0.0298,=2.3597
2020-08-14,=14.1801,=0.0294,=2.4012
2020-08-07,=14.1196,=0.0299,=2.3673
2020-07-31,=14.0305,=0.0297,=2.4027
2020-07-24,=13.5741,=0.0286,=2.5748
2020-07-17,=13.7191,=0.0295,=2.4703
2020-07-10,=14.3982,=0.0303,=2.2918
2020-07-03,=13.5069,=0.0290,=2.5553
2020-06-28,,=0.0284,=2.7779
2020-06-24,=12.6735,,=2.7443
2020-06-19,=12.5762,=0.0288,=2.7655
2020-06-12,=12.2864,=0.0275,=2.9649
2020-06-05,=12.3116,=0.0285,=2.8525
2020-05-29,=11.9325,=0.0271,=3.0978
2020-05-22,=11.8182,=0.0262,=3.2326
2020-05-15,=12.0624,=0.0268,=3.0911
2020-05-09,,=0.0264,=3.1026
2020-05-08,=12.2087,,=3.2274
2020-04-30,=12.1120,=0.0254,=3.2532
2020-04-26,,=0.0252,=3.5092
2020-04-24,=11.3058,,=3.4564
2020-04-17,=11.3645,=0.0256,=3.4386
2020-04-10,=11.1964,=0.0254,=3.5159
2020-04-03,=11.0723,=0.0260,=3.4784
2020-03-27,=11.1891,=0.0261,=3.4256
2020-03-20,=11.0840,=0.0268,=3.3645
2020-03-13,=11.7345,=0.0268,=3.1847
2020-03-06,=12.3698,=0.0263,=3.0762
2020-02-28,=11.8305,=0.0274,=3.0876
2020-02-21,=12.4705,=0.0285,=2.8166
2020-02-14,=11.9921,=0.0286,=2.9125
2020-02-07,=11.7777,=0.0280,=3.0298
2020-01-23,=12.1642,=0.0299,=2.7465
2020-01-19,,=0.0308,=2.5883
2020-01-17,=12.5520,,=2.5850
2020-01-10,=12.6238,=0.0308,=2.5704
2020-01-03,=12.6236,=0.0314,=2.5206
2019-12-27,=12.2892,=0.0313,=2.6004
2019-12-20,=12.2898,=0.0318,=2.5581
2019-12-13,=12.0092,=0.0318,=2.6162
2019-12-06,=11.7908,=0.0318,=2.6712
2019-11-29,=11.6318,=0.0316,=2.7163
2019-11-22,=11.6747,=0.0317,=2.6981
2019-11-15,=11.7471,=0.0324,=2.6310
2019-11-08,=12.0374,=0.0328,=2.5355
2019-11-01,=11.9876,=0.0328,=2.5466
2019-10-25,=12.1110,=0.0324,=2.5507
2019-10-18,=12.0863,=0.0319,=2.5961
2019-10-12,,=0.0317,=2.5850
2019-10-11,=12.1976,,=2.6100
2019-09-30,=11.9016,=0.0314,=2.6749
2019-09-29,,=0.0314,=2.6495
2019-09-27,=12.0076,,=2.6882
2019-09-20,=12.2503,=0.0310,=2.6349
2019-09-12,=12.3501,=0.0309,=2.6225
2019-09-06,=12.2677,=0.0302,=2.7016
2019-08-30,=11.8620,=0.0306,=2.7575
2019-08-23,=12.0810,=0.0306,=2.7012
2019-08-16,=11.8429,=0.0302,=2.7944
2019-08-09,=11.7640,=0.0302,=2.8132
2019-08-02,=12.1169,=0.0309,=2.6697
2019-07-26,=12.4660,=0.0317,=2.5337
2019-07-19,=12.3236,=0.0316,=2.5712
2019-07-12,=12.3310,=0.0315,=2.5720
2019-07-05,=12.6187,=0.0317,=2.4995
2019-06-28,=12.4410,=0.0323,=2.4921
2019-06-21,=12.4874,=0.0323,=2.4790
2019-06-14,=11.8112,=0.0323,=2.6211
2019-06-06,=11.6011,=0.0321,=2.6823
2019-05-31,=11.7524,=0.0328,=2.5981
2019-05-24,=11.6407,=0.0331,=2.5934
2019-05-17,=11.7437,=0.0327,=2.6068
2019-05-10,=11.9754,=0.0330,=2.5291
2019-05-05,,=0.0338,=2.3555
2019-04-30,=12.5420,,=2.3421
2019-04-28,,=0.0340,=2.3298
2019-04-26,=12.6081,,=2.3507
2019-04-19,=13.4576,=0.0337,=2.2023
2019-04-12,=13.0070,=0.0333,=2.3064
2019-04-04,=13.2681,=0.0327,=2.3063
2019-03-29,=12.6525,=0.0307,=2.5759
2019-03-22,=12.4986,=0.0311,=2.5743
2019-03-15,=12.2413,=0.0314,=2.6036
2019-03-08,=12.0663,=0.0314,=2.6374
2019-03-01,=12.4113,=0.0319,=2.5281
2019-02-22,=11.6524,=0.0315,=2.7287
2019-02-15,=11.1495,=0.0308,=2.9127
2019-02-03,,=0.0310,=2.9489
2019-02-01,=10.9508,,=2.9084
2019-01-25,=10.7400,=0.0314,=2.9655
2019-01-18,=10.6642,=0.0309,=3.0338
2019-01-11,=10.4314,=0.0311,=3.0866
2019-01-04,=10.2912,=0.0315,=3.0835
2018-12-30,,=0.0323,=3.0304
2018-12-28,=10.2273,,=2.9479
2018-12-21,=10.2870,=0.0332,=2.9309
2018-12-14,=10.5830,=0.0335,=2.8233
2018-12-07,=10.6127,=0.0329,=2.8681
2018-11-30,=10.5695,=0.0336,=2.8200
2018-11-23,=10.5021,=0.0339,=2.8074
2018-11-16,=10.8255,=0.0335,=2.7562
2018-11-09,=10.6312,=0.0348,=2.7058
2018-11-02,=11.0403,=0.0355,=2.5543
2018-10-26,=10.9178,=0.0354,=2.5867
2018-10-19,=10.7478,=0.0357,=2.6093
2018-10-12,=10.8753,=0.0358,=2.5662
2018-09-30,,=0.0361,=2.3729
2018-09-28,=11.6727,,=2.3310
2018-09-21,=11.5532,=0.0368,=2.3551
2018-09-14,=10.9673,=0.0364,=2.5083
