日期,成交金额-上海(亿元),成交金额-深圳(亿元),全部成交金额(亿元),融资买入额(亿元),融资买入额占比(%)
2012-09-30,11581.76,11635.49,23217.25,67.61000000000001,0.29120589217069215
2012-10-31,9232.96,9015.86,18248.82,564.23,3.091871145641198
2012-11-30,9209.76,8309.49,17519.25,557.81,3.183983332619832
2012-12-31,17251.16,14433.73,31684.89,1258.63,3.9723350783291345
2013-01-31,22660.36,20541.61,43201.97,2041.07,4.724483628871553
2013-02-28,16318.71,13953.79,30272.5,1680.56,5.551441076884962
2013-03-31,20452.177,18243.64,38695.816999999995,2096.22,5.417174678079546
2013-04-30,12886.8313,12853.22,25740.0513,1511.04,5.87038457067877
2013-05-31,20969.94,24048.29,45018.229999999996,3045.95,6.766036781099569
2013-06-30,13326.4054,15166.5,28492.9054,1944.77,6.8254534688484245
2013-07-31,18236.3671336,23266.26,41502.6271336,2771.45,6.677770038697789
2013-08-31,20726.1,24435.32,45161.42,3263.78,7.226920676984914
2013-09-30,25465.75,21417.54,46883.29,4015.16,8.56416006641172
2013-10-31,21016.54852663,22438.76,43455.30852663,3711.71,8.541442060468665
2013-11-30,19287.39,20807.16,40094.55,3506.07,8.74450517589049
2013-12-31,18262.17689849,21290.5,39552.67689849,3453.8,8.732152336652229
2014-01-31,13663.8,22123.6485,35787.4485,5196.64,14.5208452063857
2014-02-28,17968.53,25928.4945,43897.0245,3937.44,8.969719576323449
2014-03-31,18702.84,23515.7057,42218.5457,3784.61,8.964330573802783
2014-04-30,16876.08,17992.6658,34868.745800000004,3514.7799999999997,10.0800298931314
2014-05-31,12055.37,15461.4861,27516.8561,2739.5,9.955715834847863
2014-06-30,13193.06,19111.8645,32304.9245,3320.0099999999998,10.277101870335589
2014-07-31,23994.16,29321.6448,53315.8048,5808.17,10.893899138890989
2014-08-31,27982.46,32823.2855,60805.7455,7329.83,12.054502316725975
2014-09-30,35652.53,40872.1219,76524.6519,9749.61,12.740482652231444
2014-10-31,31375.97,33729.4184,65105.3884,9043.09,13.889925584101114
2014-11-30,48995.7,39906.3579,88902.0579,13867.57,15.598705280364495
2014-12-31,115173.9,65964.1716,181138.0716,29652.39,16.370048404556385
2015-01-31,78474.86,49195.1166,127669.9766,21012.84,16.458716888336923
2015-02-28,41447.67,34525.8103,75973.4803,12817.44,16.87093963497155
2015-03-31,113018.96,95495.4318,208514.3918,33913.92,16.264546397607454
