债券代码,债券简称,申购日期,申购代码,正股代码,正股简称,中签率,上市时间,信用评级,上市委通过日期,同意注册日期,上市委-申购,注册-申购,同意注册日期_开盘价,同意注册日期_收盘价,上市委通过日期_开盘价,上市委通过日期_收盘价,申购日期_开盘价,申购日期_收盘价,上市时间_开盘价,上市时间_收盘价
113690,豪24转债,2024-10-23,754809,603809,豪能股份,0.00131908,2024-11-20,AA-,2023-12-02,2024-03-14 00:00:00,326,223,9.680,9.580,12.220,12.080,8.240,8.790,12.170,12.560
113688,国检转债,2024-10-17,754060,603060,国检集团,0.00202207,2024-11-12,AA+,2023-10-10,2024-09-05,373,42,6.130,6.120,10.660,10.660,6.820,6.500,7.360,7.330
113689,洛凯转债,2024-10-17,754829,603829,洛凯股份,0.00053307,2024-11-11,AA-,2024-01-20,2024-08-30,271,48,12.070,12.260,15.370,14.450,14.830,14.830,14.700,15.170
118050,航宇转债,2024-08-21,718239,688239,航宇科技,0.00327929,2024-09-10,AA-,2024-06-08,2024-08-02,74,19,36.050,34.880,37.600,40.020,27.710,28.000,27.800,27.900
123248,恒辉转债,2024-08-21,370952,300952,恒辉安防,0.000912737,2024-09-12,AA-,2024-06-15,2024-08-03,67,18,16.920,16.360,17.980,18.400,16.560,16.870,16.510,16.460
123247,万凯转债,2024-08-16,371216,301216,万凯新材,0.0219868882,2024-09-05,AA,2023-08-19,2024-06-25,363,52,11.120,11.200,15.350,15.220,10.390,10.280,9.980,9.950
123246,远信转债,2024-08-16,371053,301053,远信工业,0.0003409553,2024-09-03,A,2023-11-17,2023-12-22 00:00:00,273,238,26.780,26.590,26.310,26.880,20.040,19.520,18.000,18.180
123245,集智转债,2024-08-14,370553,300553,集智股份,0.0012028753,2024-08-28,A,2023-08-25,2023-10-27,355,292,41.860,40.570,46.720,45.870,21.000,21.060,19.090,19.230
127106,伟隆转债,2024-08-13,72871,2871,伟隆股份,0.0004217956,2024-08-28,A,2024-06-01,2024-07-11,73,33,8.010,8.050,8.720,8.450,9.090,9.090,7.660,7.680
110096,豫光转债,2024-08-12,733531,600531,豫光金铅,0.00408851,2024-09-03,AA,2024-01-31,2024-07-04,194,39,6.690,6.460,5.510,5.340,5.490,5.530,5.630,5.660
118049,汇成转债,2024-08-07,718403,688403,汇成股份,0.00606009,2024-09-02,AA-,2024-01-23,2024-06-08,197,60,8.380,8.930,8.220,8.290,7.270,7.130,7.040,6.770
123244,松原转债,2024-08-01,370893,300893,松原安全,0.0006162684,2024-08-22,A+,2023-08-21,2023-12-01 00:00:00,346,244,29.600,29.100,22.120,22.280,27.080,27.400,25.360,25.020
111021,奥锐转债,2024-07-26,713116,605116,奥锐特,0.00154693,2024-08-15,AA-,2024-01-24,2024-06-25,184,31,22.810,22.160,22.870,22.430,22.390,22.500,22.800,22.950
111020,合顺转债,2024-07-22,713166,605166,聚合顺,0.00085277,2024-08-15,AA-,2024-02-01,2024-06-07,172,45,10.920,11.120,7.830,7.600,9.830,9.940,9.220,9.130
113687,振华转债,2024-07-12,754067,603067,振华股份,0.00133007,2024-08-02,AA,2024-01-25,2024-06-13,169,29,10.600,10.560,8.950,9.120,11.760,11.570,11.870,12.000
123243,严牌转债,2024-07-10,371081,301081,严牌股份,0.0010868486,2024-07-26,A+,2023-12-01,2024-01-15,222,177,11.000,10.980,11.160,11.360,7.050,6.960,6.900,6.990
